word1,word2,path_similarity,wu_palmer_similarity,ic_resnik
order,request,6,0.18181818181818182,6.641040933370958
order,undertake,inf,0,6.641040933370958
order,capital,10,0.16666666666666666,6.641040933370958
request,undertake,inf,0,8.014228946985549
request,capital,7,0.2222222222222222,8.014228946985549
undertake,capital,inf,0,8.518134127906965
written,verbal,inf,0,6.901823336185102
written,request,inf,0,6.901823336185102
written,someone,inf,0,6.901823336185102
written,present,inf,0,6.901823336185102
written,occasion,inf,0,6.901823336185102
verbal,request,inf,0,10.093670488665383
verbal,someone,inf,0,10.093670488665383
verbal,present,inf,0,10.093670488665383
verbal,occasion,inf,0,10.093670488665383
request,someone,7,0.0,8.014228946985549
request,present,6,0.25,8.014228946985549
request,occasion,7,0.2222222222222222,8.014228946985549
someone,present,7,0.0,4.8283929761955475
someone,occasion,8,0.0,4.8283929761955475
present,occasion,7,0.2222222222222222,6.369987112356756
page,map,10,0.13333333333333333,7.245858345188015
page,table,11,0.15384615384615385,7.245858345188015
page,hybrid,9,0.42857142857142855,7.245858345188015
page,entire,14,0.11764705882352941,7.245858345188015
page,tables,11,0.15384615384615385,7.245858345188015
page,integrated,inf,0,7.245858345188015
page,proposed,inf,0,7.245858345188015
page,block,8,0.15384615384615385,7.245858345188015
page,stored,inf,0,7.245858345188015
page,part,6,0.5454545454545454,7.245858345188015
page,flash,12,0.15384615384615385,7.245858345188015
page,storage,16,0.11764705882352941,7.245858345188015
page,recover,inf,0,7.245858345188015
page,lost,11,0.16666666666666666,7.245858345188015
map,table,8,0.0,9.68820538055722
map,hybrid,12,0.0,9.68820538055722
map,entire,10,0.375,9.68820538055722
map,tables,8,0.0,9.68820538055722
map,integrated,inf,0,9.68820538055722
map,proposed,inf,0,9.68820538055722
map,block,4,0.6666666666666666,9.68820538055722
map,stored,inf,0,9.68820538055722
map,part,9,0.0,9.68820538055722
map,flash,9,0.0,9.68820538055722
map,storage,12,0.0,9.68820538055722
map,recover,inf,0,9.68820538055722
map,lost,9,0.0,9.68820538055722
map,data,9,0.0,9.68820538055722
table,hybrid,9,0.18181818181818182,8.067717631936535
table,entire,12,0.0,8.067717631936535
table,tables,0,1.0,8.067717631936535
table,integrated,inf,0,8.067717631936535
table,proposed,inf,0,8.067717631936535
table,block,6,0.0,8.067717631936535
table,stored,inf,0,8.067717631936535
table,part,6,0.25,8.067717631936535
table,flash,8,0.2,8.067717631936535
table,storage,12,0.14285714285714285,8.067717631936535
table,recover,inf,0,8.067717631936535
table,lost,5,0.4444444444444444,8.067717631936535
table,data,5,0.4444444444444444,8.067717631936535
hybrid,entire,13,0.0,9.68820538055722
hybrid,tables,9,0.18181818181818182,9.68820538055722
hybrid,integrated,inf,0,9.68820538055722
hybrid,proposed,inf,0,9.68820538055722
hybrid,block,10,0.0,9.68820538055722
hybrid,stored,inf,0,9.68820538055722
hybrid,part,3,0.6666666666666666,9.68820538055722
hybrid,flash,9,0.18181818181818182,9.68820538055722
hybrid,storage,13,0.13333333333333333,9.68820538055722
hybrid,recover,inf,0,9.68820538055722
hybrid,lost,8,0.2,9.68820538055722
hybrid,data,8,0.2,9.68820538055722
entire,tables,12,0.0,8.686756840342758
entire,integrated,inf,0,8.686756840342758
entire,proposed,inf,0,8.686756840342758
entire,block,8,0.42857142857142855,8.686756840342758
entire,stored,inf,0,8.686756840342758
entire,part,10,0.0,8.686756840342758
entire,flash,13,0.0,8.686756840342758
entire,storage,17,0.0,8.686756840342758
entire,recover,inf,0,8.686756840342758
entire,lost,12,0.0,8.686756840342758
entire,data,12,0.0,8.686756840342758
tables,integrated,inf,0,8.067717631936535
tables,proposed,inf,0,8.067717631936535
tables,block,6,0.0,8.067717631936535
tables,stored,inf,0,8.067717631936535
tables,part,6,0.25,8.067717631936535
tables,flash,8,0.2,8.067717631936535
tables,storage,12,0.14285714285714285,8.067717631936535
tables,recover,inf,0,8.067717631936535
tables,lost,5,0.4444444444444444,8.067717631936535
tables,data,5,0.4444444444444444,8.067717631936535
integrated,proposed,inf,0,8.359069433277277
integrated,block,inf,0,8.359069433277277
integrated,stored,11,0,8.359069433277277
integrated,part,inf,0,8.359069433277277
integrated,flash,inf,0,8.359069433277277
integrated,storage,inf,0,8.359069433277277
integrated,recover,22,0,8.359069433277277
integrated,lost,inf,0,8.359069433277277
proposed,block,inf,0,8.467703274280073
proposed,stored,inf,0,8.467703274280073
proposed,part,inf,0,8.467703274280073
proposed,flash,inf,0,8.467703274280073
proposed,storage,inf,0,8.467703274280073
proposed,recover,inf,0,8.467703274280073
proposed,lost,inf,0,8.467703274280073
proposed,data,inf,0,8.467703274280073
block,stored,inf,0,8.209129285986362
block,part,7,0.0,8.209129285986362
block,flash,9,0.0,8.209129285986362
block,storage,13,0.0,8.209129285986362
block,recover,inf,0,8.209129285986362
block,lost,7,0.0,8.209129285986362
stored,part,inf,0,7.484826937646622
stored,flash,inf,0,7.484826937646622
stored,storage,inf,0,7.484826937646622
stored,recover,21,0,7.484826937646622
stored,lost,inf,0,7.484826937646622
part,flash,6,0.25,5.5910868914523935
part,storage,10,0.16666666666666666,5.5910868914523935
part,recover,inf,0,5.5910868914523935
part,lost,5,0.2857142857142857,5.5910868914523935
part,data,5,0.2857142857142857,5.5910868914523935
flash,storage,8,0.42857142857142855,10.093670488665383
flash,recover,inf,0,10.093670488665383
flash,lost,7,0.2222222222222222,10.093670488665383
flash,data,6,0.2222222222222222,10.093670488665383
storage,recover,inf,0,7.061124241988677
storage,lost,11,0.15384615384615385,7.061124241988677
storage,data,9,0.15384615384615385,7.061124241988677
recover,lost,inf,0,8.404189868557747
recover,data,inf,0,8.404189868557747
scsi,commonly,inf,0,11.479964849785274
scsi,used,inf,0,11.479964849785274
scsi,hard,inf,0,11.479964849785274
scsi,disks,15,0.0,11.479964849785274
scsi,tape,9,0.47058823529411764,11.479964849785274
scsi,drives,16,0.0,11.479964849785274
scsi,connect,inf,0,11.479964849785274
scsi,wide,inf,0,11.479964849785274
scsi,range,15,0.0,11.479964849785274
scsi,devices,16,0.0,11.479964849785274
scsi,including,inf,0,11.479964849785274
scsi,scanners,17,0.3,11.479964849785274
scsi,cd,13,0.11764705882352941,11.479964849785274
commonly,hard,inf,0,6.480502856287144
commonly,disks,inf,0,6.480502856287144
commonly,tape,inf,0,6.480502856287144
commonly,drives,inf,0,6.480502856287144
commonly,connect,inf,0,6.480502856287144
commonly,wide,inf,0,6.480502856287144
commonly,range,inf,0,6.480502856287144
commonly,devices,inf,0,6.480502856287144
commonly,including,inf,0,6.480502856287144
commonly,scanners,inf,0,6.480502856287144
commonly,cd,inf,0,6.480502856287144
used,hard,inf,0,4.985706850608566
used,disks,inf,0,4.985706850608566
used,tape,inf,0,4.985706850608566
used,drives,inf,0,4.985706850608566
used,connect,inf,0,4.985706850608566
used,including,inf,0,4.985706850608566
used,scanners,inf,0,4.985706850608566
used,cd,inf,0,4.985706850608566
hard,disks,inf,0,7.4486784235303105
hard,tape,inf,0,7.4486784235303105
hard,connect,inf,0,7.4486784235303105
hard,wide,inf,0,7.4486784235303105
hard,range,inf,0,7.4486784235303105
hard,devices,inf,0,7.4486784235303105
hard,including,inf,0,7.4486784235303105
hard,scanners,inf,0,7.4486784235303105
hard,cd,inf,0,7.4486784235303105
disks,tape,10,0.0,7.528721131203847
disks,drives,9,0.18181818181818182,7.528721131203847
disks,connect,inf,0,7.528721131203847
disks,wide,inf,0,7.528721131203847
disks,range,7,0.36363636363636365,7.528721131203847
disks,devices,9,0.18181818181818182,7.528721131203847
disks,including,inf,0,7.528721131203847
disks,scanners,14,0.0,7.528721131203847
disks,cd,10,0.18181818181818182,7.528721131203847
tape,drives,11,0.0,8.344470633856124
tape,connect,inf,0,8.344470633856124
tape,wide,inf,0,8.344470633856124
tape,range,10,0.0,8.344470633856124
tape,devices,12,0.0,8.344470633856124
tape,including,inf,0,8.344470633856124
tape,scanners,12,0.4,8.344470633856124
tape,cd,10,0.16666666666666666,8.344470633856124
drives,connect,inf,0,8.135925881963068
drives,wide,inf,0,8.135925881963068
drives,range,10,0.16666666666666666,8.135925881963068
drives,devices,8,0.3333333333333333,8.135925881963068
drives,including,inf,0,8.135925881963068
drives,scanners,15,0.0,8.135925881963068
connect,wide,inf,0,7.041242871434847
connect,range,inf,0,7.041242871434847
connect,devices,inf,0,7.041242871434847
connect,including,inf,0,7.041242871434847
connect,scanners,inf,0,7.041242871434847
connect,cd,inf,0,7.041242871434847
wide,range,inf,0,8.112669019798801
wide,devices,inf,0,8.112669019798801
wide,including,inf,0,8.112669019798801
wide,scanners,inf,0,8.112669019798801
wide,cd,inf,0,8.112669019798801
range,devices,10,0.16666666666666666,8.024700246852843
range,including,inf,0,8.024700246852843
range,scanners,15,0.0,8.024700246852843
range,cd,11,0.16666666666666666,8.024700246852843
devices,including,inf,0,7.750263401151083
devices,scanners,15,0.0,7.750263401151083
devices,cd,11,0.16666666666666666,7.750263401151083
including,scanners,inf,0,7.061124241988677
including,cd,inf,0,7.061124241988677
scanners,cd,13,0.13333333333333333,10.275992045459338
pin,number,12,0.0,10.275992045459338
pin,secret,11,0.0,10.275992045459338
pin,numeric,inf,0,10.275992045459338
pin,password,11,0.0,10.275992045459338
pin,shared,inf,0,10.275992045459338
pin,user,9,0.5,10.275992045459338
pin,system,6,0.5714285714285714,10.275992045459338
pin,used,inf,0,10.275992045459338
pin,authenticate,inf,0,10.275992045459338
number,secret,9,0.18181818181818182,6.53832242717597
number,numeric,inf,0,6.53832242717597
number,password,10,0.16666666666666666,6.53832242717597
number,shared,inf,0,6.53832242717597
number,user,10,0.0,6.53832242717597
number,authenticate,inf,0,6.53832242717597
secret,numeric,inf,0,8.889697684339447
secret,password,3,0.7272727272727273,8.889697684339447
secret,shared,inf,0,8.889697684339447
secret,user,9,0.0,8.889697684339447
secret,system,10,0.0,8.889697684339447
secret,used,inf,0,8.889697684339447
secret,authenticate,inf,0,8.889697684339447
numeric,password,inf,0,9.805988416213603
numeric,shared,inf,0,9.805988416213603
numeric,user,inf,0,9.805988416213603
numeric,system,inf,0,9.805988416213603
numeric,used,inf,0,9.805988416213603
numeric,authenticate,inf,0,9.805988416213603
password,shared,inf,0,9.939519808838126
password,user,10,0.0,9.939519808838126
password,system,11,0.0,9.939519808838126
password,used,inf,0,9.939519808838126
password,authenticate,inf,0,9.939519808838126
shared,user,inf,0,8.889697684339447
shared,system,inf,0,8.889697684339447
shared,used,inf,0,8.889697684339447
shared,authenticate,inf,0,8.889697684339447
user,authenticate,inf,0,7.0531241993216005
system,authenticate,inf,0,5.510405138065343
used,authenticate,inf,0,4.985706850608566
banks,disburse,inf,0,7.3210817664256025
banks,sanctioned,inf,0,7.3210817664256025
banks,end,inf,0.3076923076923077,7.3210817664256025
banks,current,inf,0.14285714285714285,7.3210817664256025
banks,financial,inf,0,7.3210817664256025
disburse,sanctioned,26,0,9.487534685095069
disburse,loan,inf,0,9.487534685095069
disburse,amount,inf,0,9.487534685095069
disburse,end,inf,0,9.487534685095069
disburse,current,inf,0,9.487534685095069
disburse,financial,inf,0,9.487534685095069
disburse,year,inf,0,9.487534685095069
sanctioned,loan,inf,0,8.045977645300129
sanctioned,amount,inf,0,8.045977645300129
sanctioned,end,inf,0,8.045977645300129
sanctioned,current,inf,0,8.045977645300129
sanctioned,financial,inf,0,8.045977645300129
sanctioned,year,inf,0,8.045977645300129
